,Datetime,Tweet Id,Text,Username,Media
31,2021-05-02 09:40:51+00:00,1388790578284953603,"The District Magistrate, North has declared following micro containment zones in ANJUNA : H. Nom 1045, 1013/1, 1055 and 1058, H. No. 1056 of part no. 25- Grand Peddem, Anjuna, Sim waddo/Fairfield, Anjuna and H. No. 430/F and H. No. 528/2 of part no. 44",goanewshub,
32,2021-05-02 09:40:35+00:00,1388790513885597704,"H. No. 1311/A behind Evershrine Building of Part no.9 - Bammon Wado, Siolim; H. No. 234,235/EP-1, 235/A, 235, &amp; 236, H. No. 195/D of part no.19- Madhla vada, Marna Siolim; H. No. 171/8(2) &amp; H. No. 171/8 of part no. 19- Soares vaddo,  Marna Siolim",goanewshub,
33,2021-05-02 09:40:27+00:00,1388790477638410243,"The District Magistrate, North has declared following areas in Siolim as Micro-Containment Zones : H. No. 1079 &amp; H. No. 1043 of part no. 8-Madhle Bhat, Siolim; Flat no. F-2(Vailankanni apts) Riviera Sub Line, H. No. 1244, H. No. 1151,",goanewshub,
34,2021-05-02 09:34:17+00:00,1388788927994097668,"District Administration forms rapid response team to control the outbreak and study the cause of #COVID19 spread in three micro containment zones in Bardez including that in Siolim, Anjuna &amp; Canca (Mapusa). https://t.co/AbA8QQMilv",goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0X4K1qUYAYVdeo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0X4K1qUYAYVdeo?format=jpg&name=large', type='photo')]"
35,2021-05-02 09:13:56+00:00,1388783805742288896,Joshua demands lockdown to be extended by another week https://t.co/rYj7lLndpX via @@goanewshub,goanewshub,
36,2021-05-02 09:10:49+00:00,1388783022040784898,Watch Hub Encounter with Dr Shekhar Salkar. Click here : https://t.co/r6A1dzqsQ2 https://t.co/CJntOQzdiz,goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0XyzF6VoAE2pqm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0XyzF6VoAE2pqm?format=jpg&name=large', type='photo')]"
37,2021-05-02 09:09:54+00:00,1388782790032855042,Mapusa MLA @Joshua_De_Souza urges CM @DrPramodPSawant to extend the lockdown by another week to break the #covid chain. https://t.co/2mgfUbuOHv,goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0XylWYVcAIWLSJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0XylWYVcAIWLSJ?format=jpg&name=large', type='photo')]"
38,2021-05-02 08:07:50+00:00,1388767170268565508,"Govt ignored early warning, now extend lockdown with border control: Rohan Khaunte https://t.co/dH5czaxzzm via @@goanewshub",goanewshub,
39,2021-05-02 06:16:46+00:00,1388739220869500931,"Directed officials to maintain 24X7 seamless supply of oxygen to Goa Medical College and other hospitals. 
: CM(2/2) https://t.co/GyUkCW7Wrn",goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0XK8-HVIAQOlju?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0XK8-HVIAQOlju?format=jpg&name=large', type='photo')]"
40,2021-05-02 06:16:15+00:00,1388739092905488384,"Visited the medical oxygen production plant of one of the major suppliers across Goa, which also supplies to Goa Medical College. Reviewed the entire process, including production capacity and transportation system. (1/2) https://t.co/ZwrZOArkbn",goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0XK1PpVcAA_Ukr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0XK1PpVcAA_Ukr?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/E0XK1yjVcAIITja?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0XK1yjVcAIITja?format=jpg&name=large', type='photo')]"
41,2021-05-02 06:12:39+00:00,1388738183655952384,"The need of the hour is to hand over the Covid Management to a Task Force comprising of experts from Civil Society and Army. Enough is enough, let us not play with the innocent lives, tweets @DigambarKamat",goanewshub,
42,2021-05-02 05:49:25+00:00,1388732340113870848,Hand over COVID-19 management to the Task Force: Kamat https://t.co/I58xyM3cmt via @@goanewshub,goanewshub,
43,2021-05-02 04:16:50+00:00,1388709038314037253,"Wishing Aldrin Basilio Soares (Baba), ex-CCP Corporator, a very Happy Birthday on behalf of Team @goanewshub https://t.co/NuUzeOVtiU",goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0WvVCCUUAIebBQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0WvVCCUUAIebBQ?format=jpg&name=large', type='photo')]"
44,2021-05-02 03:40:59+00:00,1388700015032295426,Can you tell us the answer ?? https://t.co/T8e3fbw0bn,goanewshub,"[Photo(previewUrl='https://pbs.twimg.com/media/E0WnTQNUUAIHmWH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E0WnTQNUUAIHmWH?format=jpg&name=large', type='photo')]"
